"U_X","U_Y","EpsiXX","EpsiYY","EpsiXY","SigmaXX","SigmaYY","SigmaXY","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.009791,1.1562e-09,7.6278e-05,-1.6457e-05,2.1273e-10,12.349,1.1108,6.8712e-06,1,141,141,0,0
0.0098675,1.0207e-09,7.6325e-05,-1.6542e-05,2.2959e-10,12.353,1.0986,7.417e-06,1,142,142,0,0
0.0099439,8.8521e-10,7.6372e-05,-1.6626e-05,2.4644e-10,12.356,1.0863,7.9628e-06,1,143,143,0,0
0.01002,7.4974e-10,7.6419e-05,-1.6711e-05,2.633e-10,12.36,1.0741,8.5086e-06,1,144,144,0,0
0.010097,6.1427e-10,7.6466e-05,-1.6796e-05,2.8016e-10,12.364,1.0619,9.0544e-06,1,145,145,0,0
0.010173,4.788e-10,7.6513e-05,-1.688e-05,2.9701e-10,12.368,1.0496,9.6002e-06,1,146,146,0,0
0.01025,3.4332e-10,7.6559e-05,-1.6965e-05,3.1387e-10,12.371,1.0374,1.0146e-05,1,147,147,0,0
0.010326,2.0785e-10,7.6606e-05,-1.7049e-05,3.3072e-10,12.375,1.0252,1.0692e-05,1,148,148,0,0
0.010403,7.2378e-11,7.6653e-05,-1.7134e-05,3.4758e-10,12.379,1.013,1.1238e-05,1,149,149,0,0
0.010479,-6.3094e-11,7.67e-05,-1.7219e-05,3.6444e-10,12.382,1.0007,1.1783e-05,1,150,150,0,0
0.010556,-3.8771e-10,7.6742e-05,-1.7297e-05,3.5727e-10,12.385,0.98934,1.1553e-05,1,151,151,0,0
0.010633,-7.1233e-10,7.6784e-05,-1.7375e-05,3.501e-10,12.389,0.97795,1.1323e-05,1,152,152,0,0
0.01071,-1.0369e-09,7.6826e-05,-1.7454e-05,3.4292e-10,12.392,0.96657,1.1092e-05,1,153,153,0,0
0.010787,-1.3616e-09,7.6867e-05,-1.7532e-05,3.3575e-10,12.395,0.95518,1.0862e-05,1,154,154,0,0
0.010864,-1.6862e-09,7.6909e-05,-1.761e-05,3.2858e-10,12.398,0.94379,1.0632e-05,1,155,155,0,0
0.010941,-2.0108e-09,7.6951e-05,-1.7688e-05,3.2141e-10,12.401,0.9324,1.0401e-05,1,156,156,0,0
0.011018,-2.3354e-09,7.6993e-05,-1.7767e-05,3.1424e-10,12.404,0.92101,1.0171e-05,1,157,157,0,0
0.011095,-2.66e-09,7.7035e-05,-1.7845e-05,3.0707e-10,12.408,0.90962,9.9409e-06,1,158,158,0,0
0.011172,-2.9846e-09,7.7076e-05,-1.7923e-05,2.999e-10,12.411,0.89824,9.7106e-06,1,159,159,0,0
0.011248,-3.3093e-09,7.7118e-05,-1.8001e-05,2.9273e-10,12.414,0.88685,9.4802e-06,1,160,160,0,0
0.011326,-3.6386e-09,7.7155e-05,-1.8073e-05,2.9174e-10,12.416,0.8763,9.4499e-06,1,161,161,0,0
0.011403,-3.9678e-09,7.7192e-05,-1.8145e-05,2.9076e-10,12.419,0.86576,9.4195e-06,1,162,162,0,0
0.01148,-4.2971e-09,7.7229e-05,-1.8217e-05,2.8977e-10,12.422,0.85521,9.3891e-06,1,163,163,0,0
0.011558,-4.6264e-09,7.7266e-05,-1.8289e-05,2.8879e-10,12.424,0.84467,9.3587e-06,1,164,164,0,0
0.011635,-4.9557e-09,7.7303e-05,-1.8361e-05,2.878e-10,12.427,0.83412,9.3284e-06,1,165,165,0,0
0.011712,-5.285e-09,7.7339e-05,-1.8433e-05,2.8682e-10,12.43,0.82358,9.298e-06,1,166,166,0,0
0.01179,-5.6143e-09,7.7376e-05,-1.8505e-05,2.8583e-10,12.432,0.81303,9.2676e-06,1,167,167,0,0
0.011867,-5.9436e-09,7.7413e-05,-1.8577e-05,2.8485e-10,12.435,0.80249,9.2372e-06,1,168,168,0,0
